Year	Gear	State	Lenbin	Prop.numbers
2011	NON TRAWL	CA	12	0.866516167
2011	NON TRAWL	CA	14	0.192308815
2011	NON TRAWL	CA	16	0.584245544
2011	NON TRAWL	CA	18	0.417799547
2011	NON TRAWL	CA	20	0.162326224
2011	NON TRAWL	CA	22	0.971598837
2011	NON TRAWL	CA	24	0.811784947
2011	NON TRAWL	CA	26	0.128206878
2011	NON TRAWL	CA	28	0.956516391
2011	NON TRAWL	CA	30	0.812824393
2011	NON TRAWL	CA	32	0.68781257
2011	NON TRAWL	CA	34	0.671556618
2011	NON TRAWL	CA	36	0.952007174
2011	NON TRAWL	CA	38	0.099544035
2011	NON TRAWL	CA	40	0.27318087
2011	NON TRAWL	CA	42	0.600513514
2011	NON TRAWL	CA	44	0.227603619
2011	NON TRAWL	CA	46	0.888287176
2011	NON TRAWL	CA	48	0.296674556
2011	NON TRAWL	CA	50	0.843671993
2011	NON TRAWL	CA	52	0.257759431
2011	NON TRAWL	CA	54	0.253783322
2011	NON TRAWL	CA	56	0.709088784
2011	NON TRAWL	CA	58	0.758320235
2011	NON TRAWL	CA	60	0.526561685
2011	NON TRAWL	CA	62	0.913053053
2011	NON TRAWL	CA	64	0.090236011
2011	NON TRAWL	CA	66	0.474445127
2004	NON TRAWL	CA	12	0.918468429
2004	NON TRAWL	CA	14	0.644566621
2004	NON TRAWL	CA	16	0.967487567
2004	NON TRAWL	CA	18	0.381053805
2004	NON TRAWL	CA	20	0.404298613
2004	NON TRAWL	CA	22	0.411940901
2004	NON TRAWL	CA	24	0.149972395
2004	NON TRAWL	CA	26	0.459334625
2004	NON TRAWL	CA	28	0.861925251
2004	NON TRAWL	CA	30	0.035544165
2004	NON TRAWL	CA	32	0.487927067
2004	NON TRAWL	CA	34	0.388018027
2004	NON TRAWL	CA	36	0.443368768
2004	NON TRAWL	CA	38	0.261558342
2004	NON TRAWL	CA	40	0.367440821
2004	NON TRAWL	CA	42	0.874870809
2004	NON TRAWL	CA	44	0.351830408
2004	NON TRAWL	CA	46	0.322501212
2004	NON TRAWL	CA	48	0.080809634
2004	NON TRAWL	CA	50	0.02937008
2004	NON TRAWL	CA	52	0.801980538
2004	NON TRAWL	CA	54	0.600238655
2004	NON TRAWL	CA	56	0.133598139
2004	NON TRAWL	CA	58	0.169981597
2004	NON TRAWL	CA	60	0.109707689
2004	NON TRAWL	CA	62	0.51451923
2004	NON TRAWL	CA	64	0.216072251
2004	NON TRAWL	CA	66	0.748807696
2005	NON TRAWL	CA	12	0.109277884
2005	NON TRAWL	CA	14	0.975037239
2005	NON TRAWL	CA	16	0.416987441
2005	NON TRAWL	CA	18	0.058742206
